Month,Income,Expenses,Year,date
January,6977,7581,2011,2011-01
February,4233,6297,2011,2011-02
March,3634,5691,2011,2011-03
April,3802,4867,2011,2011-04
May,5029,5098,2011,2011-05
June,3119,5902,2011,2011-06
July,4494,5345,2011,2011-07
August,3485,4676,2011,2011-08
September ,3437,6268,2011,2011-09
October,4176,4970,2011,2011-10
November,3087,5008,2011,2011-11
December,3960,4473,2011,2011-12
January,4640,9336,2012,2012-01
February,3291,6033,2012,2012-02
March,3783,5225,2012,2012-03
April,4518,5252,2012,2012-04
May,4859,5677,2012,2012-05
June,3390,4177,2012,2012-06
July,4095,5822,2012,2012-07
August,3715,4933,2012,2012-08
September ,6946,6890,2012,2012-09
October,3341,4147,2012,2012-10
November,9545,5624,2012,2012-11
December,4192,5624,2012,2012-12
January,2792,5840,2013,2013-01
February,3972,6613,2013,2013-02
March,4262,6670,2013,2013-03
April,3485,5310,2013,2013-04
May,3288,4546,2013,2013-05
June,4445,4800,2013,2013-06
July,3213,4625,2013,2013-07
August,3306,3931,2013,2013-08
September ,3898,4011,2013,2013-09
October,2984,3641,2013,2013-10
November,3320,3607,2013,2013-11
December,4304,4411,2013,2013-12
January,3279,6815,2014,2014-01
February,3331,4557,2014,2014-02
March,4003,7088,2014,2014-03
April,3236,4191,2014,2014-04
May,3408,3652,2014,2014-05
June,4182,6480,2014,2014-06
July,3197,4156,2014,2014-07
August,3817,3965,2014,2014-08
September ,3163,4800,2014,2014-09
October,3417,3530,2014,2014-10
November,3752,4463,2014,2014-11
December,3713,4461,2014,2014-12
January,806,6937,2015,2015-01
February,2900,4441,2015,2015-02
March,1857,5543,2015,2015-03
April,6086,3912,2015,2015-04
May,3666,4472,2015,2015-05
June,3990,6039,2015,2015-06
July,3347,3640,2015,2015-07
August,3615,4119,2015,2015-08
September ,3151,5331,2015,2015-09
October,2752,3816,2015,2015-10
November,5300,5871,2015,2015-11
December,2847,4612,2015,2015-12
January,3431,5449,2016,2016-01
February,2808,5213,2016,2016-02
March,3210,8883,2016,2016-03
April,3085,4537,2016,2016-04
May,3218,6905,2016,2016-05
